OrderID,OrderLineID,CustomerID,ProductID,StoreID,OrderDate,Quantity,UnitPrice,Discount,ReturnFlag
ORD-2026-0001,1,CUST001,PRD001,STR001,2026-01-01,2,129.99,0,0
ORD-2026-0001,2,CUST001,PRD005,STR001,2026-01-01,1,54.99,10,0
ORD-2026-0002,1,CUST002,PRD002,STR002,2026-01-15,1,79.99,0,0
ORD-2026-0003,1,CUST003,PRD004,STR003,2026-01-15,1,199.99,5,0
ORD-2026-0004,1,CUST004,PRD007,STR004,2026-02-01,1,249.99,0,0
ORD-2026-0005,1,CUST005,PRD003,STR001,2026-02-01,2,89.99,15,0
ORD-2026-0006,1,CUST006,PRD006,STR003,2026-02-15,3,39.99,0,0
ORD-2026-0007,1,CUST007,PRD001,STR005,2026-02-15,1,129.99,10,0
ORD-2026-0008,1,CUST008,PRD008,STR002,2026-03-01,2,29.99,0,0
ORD-2026-0009,1,CUST001,PRD004,STR003,2026-03-03,1,199.99,0,0
ORD-2026-0010,1,CUST004,PRD002,STR001,2026-03-03,2,79.99,5,0
